Month,Dealer,LOB,Car_Model,Employee_Code,Status,Reason_Lost,Testdrive,Financier,Source_PV_,Inquiry_Date,Booking_Date,Invoice_Date,Booking_Confirmed,Sale_Confirmed
2021 / 01,Dealer 2,Cars,Model A,3.70427E+18,Won,Unspecified,Not given,SELF,Showroom Walk-in,12/25/2020,2020-12-25,2021-01-14,TRUE,TRUE
2021 / 01,Dealer 2,Cars,Model A,3.70427E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,1/21/2021,2021-01-21,2021-01-25,TRUE,TRUE
2021 / 01,Dealer 2,Cars,Model O,3.70427E+18,Won,Unspecified,Not given,SELF,External Leads-BAP,1/30/2021,2021-01-31,2021-01-31,TRUE,TRUE
2021 / 01,Dealer 2,Cars,Model P,3.70427E+18,Won,Unspecified,Not given,HDFC BANK LTD,Cold Calling,1/30/2021,2021-01-31,2021-01-31,TRUE,TRUE
2021 / 01,Dealer 2,UVs,Model F,3.70427E+18,Won,Unspecified,Not given,SELF,External Leads-BAP,1/28/2021,2021-01-28,2021-01-28,TRUE,TRUE
2021 / 01,Dealer 2,UVs,Model I,3.70427E+18,Won,Unspecified,Given,SELF,Cold Calling,12/12/2020,2020-12-14,2021-01-12,TRUE,TRUE
2021 / 01,Dealer 2,UVs,Model I,3.70427E+18,Won,Unspecified,Not given,HDFC BANK LTD,Showroom Walk-in,9/5/2020,2020-11-23,2021-01-30,TRUE,TRUE
2021 / 01,Dealer 2,UVs,Model I,3.70427E+18,Won,Unspecified,Not given,SELF,Showroom Walk-in,12/15/2020,2020-12-15,2021-01-09,TRUE,TRUE
2021 / 02,Dealer 2,Cars,Model A,3.70427E+18,Won,Unspecified,Given,STATE BANK OF INDIA,Showroom Walk-in,1/1/2021,2021-01-02,2021-02-15,TRUE,TRUE
2021 / 02,Dealer 2,UVs,Model I,3.70427E+18,Won,Unspecified,Not given,SELF,External Leads-BAP,2/26/2021,2021-02-26,2021-02-27,TRUE,TRUE
2021 / 02,Dealer 2,UVs,Model I,3.70427E+18,Won,Unspecified,Not given,STATE BANK OF INDIA,External Leads-Web,9/11/2020,2021-01-20,2021-02-04,TRUE,TRUE
2021 / 02,Dealer 2,UVs,Model I,3.70427E+18,Won,Unspecified,Given,SELF,Referral,12/14/2020,2020-12-14,2021-02-19,TRUE,TRUE
2021 / 03,Dealer 2,Cars,Model P,3.70427E+18,Won,Unspecified,Given,SELF,Workshop,3/18/2021,2021-03-19,2021-03-28,TRUE,TRUE
2021 / 03,Dealer 2,UVs,Model F,3.70427E+18,Won,Unspecified,Given,SELF,Cold Calling,2/7/2021,2021-02-08,2021-03-22,TRUE,TRUE
2021 / 03,Dealer 2,UVs,Model I,3.70427E+18,Won,Unspecified,Not given,SELF,Showroom Walk-in,3/19/2021,2021-03-19,2021-03-22,TRUE,TRUE
2021 / 03,Dealer 2,UVs,Model N,3.70427E+18,Won,Unspecified,Not given,SELF,Showroom Walk-in,3/1/2021,2021-03-01,2021-03-15,TRUE,TRUE
2021 / 03,Dealer 2,UVs,Model N,3.70427E+18,Won,Unspecified,Given,SELF,Cold Calling,3/3/2021,2021-03-03,2021-03-15,TRUE,TRUE
2021 / 04,Dealer 2,UVs,Model F,3.70427E+18,Won,Unspecified,Given,SELF,Cold Calling,3/1/2021,2021-03-02,2021-04-08,TRUE,TRUE
2021 / 04,Dealer 2,UVs,Model N,3.70427E+18,Won,Unspecified,Given,SELF,Referral,3/29/2021,2021-03-29,2021-04-08,TRUE,TRUE
2021 / 05,Dealer 2,Cars,Model A,3.70427E+18,Won,Unspecified,Not given,SELF,External Leads-BAP,4/30/2021,2021-04-30,2021-05-21,TRUE,TRUE
2021 / 12,Dealer 2,Cars,Model O,3.56917E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,12/24/2021,2021-12-24,2021-12-25,TRUE,TRUE
2021 / 12,Dealer 2,UVs,Model I,3.56917E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,12/21/2021,2021-12-21,2021-12-24,TRUE,TRUE
2021 / 12,Dealer 2,UVs,Model L,3.56917E+18,Won,Unspecified,Not given,SELF,Showroom Walk-in,12/31/2021,2021-12-31,2021-12-31,TRUE,TRUE
2021 / 12,Dealer 2,UVs,Model L,3.56917E+18,Won,Unspecified,Not given,SELF,Showroom Walk-in,12/31/2021,2021-12-31,2021-12-31,TRUE,TRUE
2022 / 01,Dealer 2,UVs,Model L,3.56917E+18,Won,Unspecified,Given,SELF,Showroom Walk-in,12/11/2021,2021-12-11,2022-01-24,TRUE,TRUE
2022 / 01,Dealer 1,UVs,Model I,8.07822E+18,Won,Unspecified,Given,Unspecified,Call to Dealer,1/19/2022,2022-01-22,2022-01-30,TRUE,TRUE
2022 / 01,Dealer 1,UVs,Model L,8.07822E+18,Won,Unspecified,Given,KVB,External Leads-Web,11/13/2021,2022-01-10,2022-01-29,TRUE,TRUE
